;+
;> TEMPLATE31 = '00188-0856'
;> TEMPLATE61 = '00183-7111'
;
;  The 3.1 um H20 ice feature of 00188-0856 has tau=1.8
;  from Imanishi et al. (2006), and the 6.1 um H20 ice 
;  feature from the GTO Spitzer/IRS spectrum has tau=0.46,
;  giving tau(3.1)/tau(6.1)~4 for water ice.
;
;  The 00183-7111 GTO Spitzer/IRS spectrum was used as the
;  6.1 um template since it contains *no* detectable 6.2 um
;  PAH emission.
;-

;~            WAVE          OPACITY
     3.4290399E+00    1.3372164E+00
     3.4362617E+00    1.2802262E+00
     3.4434988E+00    1.2412068E+00
     3.4507510E+00    1.2186199E+00
     3.4580185E+00    1.1960329E+00
     3.4653013E+00    1.1734460E+00
     3.4725995E+00    1.1508590E+00
     3.4799130E+00    1.1282721E+00
     3.4872419E+00    1.0673248E+00
     3.4945863E+00    9.7534393E-01
     3.5019461E+00    8.8336310E-01
     3.5093214E+00    7.9138228E-01
     3.5167123E+00    6.9940145E-01
     3.5241188E+00    6.0742062E-01
     3.5315408E+00    5.1543980E-01
     3.5389785E+00    4.5454461E-01
     3.5464318E+00    3.9613214E-01
     3.5539008E+00    3.3771967E-01
     3.5613856E+00    2.7930721E-01
     3.5688861E+00    2.2089474E-01
     3.5764024E+00    1.6571887E-01
     3.5839345E+00    1.3629690E-01
     3.5914826E+00    1.0687492E-01
     3.5990464E+00    7.7452949E-02
     3.6066262E+00    4.8030976E-02
     3.6142221E+00    1.8609003E-02
     3.6218338E+00    0.0000000E+00
     3.6294616E+00    0.0000000E+00
     3.6371056E+00    0.0000000E+00
     3.6447655E+00    0.0000000E+00
     3.6524416E+00    0.0000000E+00
     3.6601339E+00    0.0000000E+00
     3.6678424E+00    0.0000000E+00
     3.6755671E+00    0.0000000E+00
     3.6833081E+00    0.0000000E+00
     3.6910655E+00    0.0000000E+00
     3.6988391E+00    0.0000000E+00
     3.7066291E+00    0.0000000E+00
     3.7144354E+00    0.0000000E+00
     3.7222583E+00    0.0000000E+00
     3.7300976E+00    0.0000000E+00
     3.7379535E+00    0.0000000E+00
     3.7458259E+00    0.0000000E+00
     3.7537148E+00    0.0000000E+00
     3.7616204E+00    0.0000000E+00
     3.7695426E+00    0.0000000E+00
     3.7774815E+00    0.0000000E+00
     3.7854371E+00    0.0000000E+00
     3.7934096E+00    0.0000000E+00
     3.8013987E+00    0.0000000E+00
     3.8094047E+00    0.0000000E+00
     3.8174275E+00    0.0000000E+00
     3.8254673E+00    0.0000000E+00
     3.8335240E+00    0.0000000E+00
     3.8415977E+00    0.0000000E+00
     3.8496883E+00    0.0000000E+00
     3.8577960E+00    0.0000000E+00
     3.8659208E+00    0.0000000E+00
     3.8740627E+00    0.0000000E+00
     3.8822217E+00    0.0000000E+00
     3.8903980E+00    0.0000000E+00
     3.8985914E+00    0.0000000E+00
     3.9068020E+00    0.0000000E+00
     3.9150300E+00    0.0000000E+00
     3.9232754E+00    0.0000000E+00
     3.9315381E+00    0.0000000E+00
     3.9398182E+00    0.0000000E+00
     3.9481157E+00    0.0000000E+00
     3.9564306E+00    0.0000000E+00
     3.9647632E+00    0.0000000E+00
     3.9731132E+00    0.0000000E+00
     3.9814809E+00    0.0000000E+00
     4.5045588E+00    0.0000000E+00
     4.5140457E+00    0.0000000E+00
     4.5235526E+00    0.0000000E+00
     4.5330795E+00    0.0000000E+00
     4.5426265E+00    0.0000000E+00
     4.5521936E+00    0.0000000E+00
     4.5617808E+00    0.0000000E+00
     4.5713882E+00    0.0000000E+00
     4.5810158E+00    0.0000000E+00
     4.5906638E+00    0.0000000E+00
     4.6003320E+00    0.0000000E+00
     4.6100206E+00    0.0000000E+00
     4.6197296E+00    0.0000000E+00
